query	label
if this bitch new the amount of shit i spoke bout her on my twittah lol	invalid
what is the use of multidocument spatiotemporal analysis	invalid
i need your support to make payment for my gas bill	txn-moneymovement
how much is real	invalid
will you be able to show all my debit cards	qry-accountenquiry
show me how car loan overdue amount has been calculated	txn-sumcalculator
help me register for sms banking	txn-productapply
what is the interest rate associated with my ira number 30543	qry-accountenquiry
i wish to send money from the balance in my primary account	txn-moneymovement
login for funds transfer	txn-moneymovement
you pissing in my trash can again	invalid
how to check which interest rate type is suitable for me	faq
initiate water bill pay now	txn-moneymovement
i seek to send 10 inr to magdalen	txn-moneymovement
it 's one thing to be a hoe but a ratchet hoe bitch please take a seat	invalid
"i had paid my bill due on my credit card yesterday , check if it has been paid"	qry-checktransaction-details
how to start a flower shop	invalid
"i want to pay the transaction of 42300.04 made on my master card number 2618 in emi , please convert it now"	txn-cardsettings
fetch checking account balances for account ending 7580460715	qry-balanceenquiry
to enjoy the game though you have to know how to play	invalid
how to make banana liqueur	invalid
"there has been a fraud recorded on my visa card , help me block it asap"	txn-productclosure
bitch your an ass hole	invalid
how to renew credit card before its expiry	faq
when do you need to know if i can make it	invalid
login to convert transactions to emis for american express credit card number ends with 0962	txn-cardsettings
perform a move of 761.54 nicaraguan cordoba oro on 16-04-082 from my checking account	txn-moneymovement
real nigga speaking you sound like a bitch	invalid
i need to check the maturity instruction of the recurring deposit associated with my account number 8588	qry-accountenquiry
please help me to update my signature account ending in 512764935385667 with durham public works department asap	txn-accountupdate
how to make a reversible duct tape bracelet	invalid
i require to change information of my account	txn-accountsettings
can i get a maintenance grant	invalid
how to set up a minimal system	invalid
note that i want to know saving balance for 1824 immediately	qry-balanceenquiry
the miridae do not have any ocelli	invalid
show atm charges	qry-accountenquiry
"for my savings account 5393 , reissue debit card"	txn-productapply
all scoring was done in the first half	invalid
fetch me the details for what amount did i withdraw in part withdrawal of my deposit certificate number 729441086	qry-transaction-spend
how to make diabolo fraise	invalid
how to make a wooden pen	invalid
i want to get a new big locker	txn-applylocker
how much do you know about david beckham	invalid
i mean to replace my card	txn-productapply
study some linguistics before you say something idiotic like since when do verbs have plurals moron	invalid
how to make an iron golem in minecraft	invalid
letting you know that card was lost tonight in kirti square deactivate it	txn-productclosure
set up estatements asap	txn-update-statement
